개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202537400000808073,경기도 수원시,경기도 수원시 영통구 매탄로 177,경기도 수원시 영통구 매탄동 916-1,생활방범,3,200,,30,,031-5191-3308,37.26679,127.0452,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808074,경기도 수원시,경기도 수원시 팔달구 매산로3가 86-1,경기도 수원시 팔달구 매산로3가 86-1,생활방범,3,200,,30,,031-5191-3302,37.26753,127.0087,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808075,경기도 수원시,경기도 수원시 영통구 매탄로65번길 17,경기도 수원시 영통구 매탄동 1166-2,생활방범,5,200,,30,,031-5191-3308,37.25694,127.0408,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808076,경기도 수원시,경기도 수원시 영통구 청명북로 66,경기도 수원시 영통구 영통동 195-22,생활방범,3,200,,30,,031-5191-3308,37.25713,127.0801,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808077,경기도 수원시,경기도 수원시 팔달구 인계동 359-48,경기도 수원시 팔달구 인계동 359-48,생활방범,5,200,,30,,031-5191-3302,37.27111,127.0347,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808078,경기도 수원시,경기도 수원시 영통구 삼성로 269-20,경기도 수원시 영통구 원천동 257-15,생활방범,6,200,,30,,031-5191-3308,37.26669,127.0638,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808079,경기도 수원시,경기도 수원시 영통구 인계로292번길42-3,경기도 수원시 영통구 매탄동 1257-6,생활방범,4,200,,30,,031-5191-3308,37.26132,127.0485,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808080,경기도 수원시,경기도 수원시 영통구 영통로153번길 74-5,경기도 수원시 영통구 망포동 254,생활방범,5,200,,30,,031-5191-3308,37.24161,127.0513,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808081,경기도 수원시,경기도 수원시 영통구 영통로174번길 68,경기도 수원시 영통구 망포동 355-13,생활방범,4,200,,30,,031-5191-3308,37.24335,127.0593,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
3740000,202537400000808082,경기도 수원시,경기도 수원시 영통구 이의동 1378-23,경기도 수원시 영통구 이의동 1378-23,생활방범,3,200,,30,,031-5191-3308,37.30188,127.0415,2025-10-24,I,2026-05-15 18:45:38,2025-10-30 20:11:41
